symbol,industry,period,year,quarter,net_revenue,gross_profit,operating_profit,ebit,net_profit,gross_profit_margin,operating_profit_margin,pretax_profit_margin,net_profit_margin
PNJ,,Q1 2019,2019,1,4783491589696.0,1049353772441.0,543269729714.0,543238044432.0,428746315280.0,21.936983744288103,11.357179573269113,11.356517185107538,8.963041059872495
PNJ,,Q2 2019,2019,2,2961828580037.0,635733604972.0,210393786832.0,210066983171.0,169151564268.0,21.46422683800486,7.103509914451959,7.09247606653778,5.711051794425149
PNJ,,Q3 2019,2019,3,3934018649882.0,753055007330.0,267708621313.0,268027888640.0,207993358183.0,19.14213109672441,6.80496573957599,6.813081291519536,5.2870455555476
PNJ,,Q4 2019,2019,4,5321342260908.0,1022571107518.0,480805854372.0,481341318478.0,384803198848.0,19.2164130285338,9.035424349682,9.045486925621413,7.2313183400148295
PNJ,,Q1 2020,2020,1,5000890417625.0,1049556421645.0,511930363724.0,511700795331.0,408262169783.0,20.98739092434364,10.236784271852203,10.232193721493593,8.163789559237934
PNJ,,Q2 2020,2020,2,2744802199607.0,473497362511.0,42796113411.0,42690872963.0,31660485158.0,17.250691600975664,1.5591693061571992,1.5553351337707493,1.1534705547282473
PNJ,,Q3 2020,2020,3,3922373882414.0,734330054636.0,260252360280.0,256095727112.0,202085876099.0,18.7215721053104,6.635072741200014,6.529100355787285,5.15213190167959
PNJ,,Q4 2020,2020,4,5842951745863.0,1177381882095.0,534153466244.0,535493073309.0,427301574221.0,20.150463897440616,9.141842847191029,9.164769736257817,7.313111468420792
PNJ,,Q1 2021,2021,1,7181771463337.0,1325119610379.0,649124339336.0,648288049259.0,512612208810.0,18.451152576265425,9.038498964354197,9.026854343228765,7.13768478190777
PNJ,,Q2 2021,2021,2,4455408501572.0,835069023577.0,270822962372.0,273211431261.0,222657103800.0,18.74281613644098,6.07852147062263,6.132129773613417,4.997456545711577
PNJ,,Q3 2021,2021,3,876967240018.0,155883675457.0,-193439660121.0,-193509376194.0,-159528391064.0,17.775313414649382,-22.0577977481838,-22.065747426326684,-18.19091794816938
PNJ,,Q4 2021,2021,4,7098904871509.0,1256825800845.0,578409510489.0,559359481372.0,457177492495.0,17.70450264644607,8.147869579298202,7.879517918558868,6.440112957843012
PNJ,,Q1 2022,2022,1,10142717252585.0,1760791712066.0,913199342052.0,913285975874.0,721072652231.0,17.360157719246683,9.003497971110844,9.004352119164492,7.109265044800746
PNJ,,Q2 2022,2022,2,8067775561768.0,1449185802291.0,503059657584.0,476997372679.0,367034289466.0,17.962643992706962,6.235419586632102,5.912377817491853,4.549386465400964
PNJ,,Q3 2022,2022,3,7363979895138.0,1247912087007.0,328730095555.0,329630611085.0,252270411779.0,16.94616368834633,4.4640276078434304,4.476256260594024,3.4257346621160556
PNJ,,Q4 2022,2022,4,8301981849662.0,1468904662589.0,591387898355.0,591324894516.0,466418918591.0,17.69342175385271,7.123454484293738,7.122695583104349,5.6181635546455615
PNJ,,Q1 2023,2023,1,9795686496433.0,1899952097114.0,941236349092.0,943169280848.0,748593747032.0,19.395803426394345,9.608681835976904,9.628414314723583,7.642075390066768
FRT,,Q2 2017,2017,2,3021371667108.0,429924677788.0,73608636017.0,80517647660.0,64434405497.0,14.229453544836998,2.4362655153729165,2.664936874087721,2.132620961481227
FRT,,Q3 2017,2017,3,2875927062960.0,419570038416.0,71114390894.0,77927200636.0,62341760509.0,14.58903613446179,2.472746677407274,2.709637585724957,2.1677100685869197
FRT,,Q4 2017,2017,4,3948922805432.0,553653409156.0,136833730334.0,144030531320.0,114663352812.0,14.02036546256143,3.465090027735571,3.647337221225916,2.903661541681015
FRT,,Q1 2018,2018,1,3884306627892.0,488397968128.0,73026187002.0,79853214234.0,63882571387.0,12.5736203373072,1.8800314701630818,2.0557906953225284,1.6446325562528736
FRT,,Q2 2018,2018,2,3563845732591.0,497635607749.0,95248019349.0,103309530471.0,82647624377.0,13.963444129979418,2.672619032803994,2.8988216163860585,2.319057293114459
FRT,,Q3 2018,2018,3,3552666881068.0,494759709607.0,92143881677.0,101103748136.0,80882998509.0,13.926431218292713,2.593653859528191,2.8458550019079265,2.276684001531971
FRT,,Q4 2018,2018,4,4265804180230.0,562801337876.0,142370371114.0,150508705525.0,120350164564.0,13.193323324223835,3.3374802287882748,3.528261006975829,2.8212772897960607
FRT,,Q1 2019,2019,1,4017654442132.0,479349143676.0,74740456571.0,80360959525.0,64367544951.0,11.93106949789414,1.8603007711966983,2.0001959024220066,1.6021175010970543
FRT,,Q2 2019,2019,2,3985175774305.0,543952008367.0,112745814366.0,120444550991.0,96922760936.0,13.649385602366893,2.8291302755814445,3.0223146433736687,2.432082458217366
FRT,,Q3 2019,2019,3,4424252617459.0,554709464385.0,84077027551.0,91051652376.0,73096077338.0,12.537924760353958,1.9003667923304144,2.0580120587303643,1.6521678045586283
FRT,,Q4 2019,2019,4,4206876913266.0,511113091497.0,-20674230824.0,-13854503639.0,-20270940696.0,12.149466267607018,-0.4914389284555893,-0.3293299025533905,-0.4818524790225607
FRT,,Q1 2020,2020,1,4092967226685.0,563531579695.0,42544035736.0,46997871500.0,36885276553.0,13.768289568040807,1.039442374681742,1.148259169865496,0.9011867066151502
FRT,,Q2 2020,2020,2,3204212185603.0,463009451544.0,-22687695646.0,-20665855302.0,-17694106129.0,14.450024677653062,-0.7080584659136863,-0.6449590134777824,-0.5522139329131273
FRT,,Q3 2020,2020,3,3432170739148.0,476225676449.0,-13187444929.0,-8491146049.0,-235767714.0,13.875349236478193,-0.3842304457229201,-0.24739870753364201,-0.0068693468920641996
FRT,,Q4 2020,2020,4,3937217682242.0,538678084138.0,7650320286.0,10586508340.0,5763193535.0,13.681694221978006,0.19430778035223137,0.2688829827151351,0.14637731515312663
FRT,,Q1 2021,2021,1,4664985527008.0,585487537101.0,37744293899.0,38668468616.0,30931535097.0,12.550682820156926,0.8090977706249863,0.8289086513158154,0.6630574718382606
FRT,,Q2 2021,2021,2,4359296122542.0,604922717569.0,34951365971.0,37493741470.0,30097027454.0,13.876614493815495,0.8017662711708399,0.8600870511209178,0.6904102544988334
FRT,,Q3 2021,2021,3,4993258547229.0,694657139350.0,59071437792.0,60906111169.0,47449901840.0,13.911900070455971,1.1830238156760697,1.2197668234664063,0.950279289389736
FRT,,Q4 2021,2021,4,8477421211303.0,1266445867580.0,414428422689.0,417071944325.0,335253703231.0,14.939046155822004,4.888614265579253,4.919797352630247,3.954666105112296
FRT,,Q1 2022,2022,1,7785636263467.0,1232757342574.0,202556157284.0,203949391656.0,164586799706.0,15.833739219985654,2.601664789228161,2.6195597219588045,2.113980079936438
FRT,,Q2 2022,2022,2,6213196404788.0,943196667139.0,55539900067.0,59053034221.0,46687414644.0,15.180538416782637,0.8939022114961627,0.9504453162866809,0.7514234478089546
FRT,,Q3 2022,2022,3,7709148116410.0,1196613947804.0,102857241903.0,105769867333.0,84543692032.0,15.52199970392111,1.3342231897718242,1.3720046071997767,1.0966671123108522
FRT,,Q4 2022,2022,4,8457819972006.0,1330609421740.0,113014564517.0,116851120761.0,94542948196.0,15.73229775691726,1.3362138812490656,1.3815749347675652,1.1178169848604214
FRT,,Q1 2023,2023,1,7752868462832.0,1186380536625.0,-1968199749.0,2070443499.0,-5074297215.0,15.302472140635725,-0.025386729549659454,0.026705515628517446,-0.06545057792901647
DGW,,Q1 2014,2014,1,1005577162937.0,51413920102.0,29562475184.0,37516423087.0,29262810008.0,5.112876663968264,2.939851487642834,3.730834834934535,2.9100511712628596
DGW,,Q2 2014,2014,2,1085852394962.0,64925661194.0,39237023869.0,40463210452.0,31462029464.0,5.979234516149141,3.6134767534746857,3.7264006268012175,2.8974499305774457
DGW,,Q3 2014,2014,3,1344634126353.0,84829411275.0,58011332356.0,59437717980.0,72414741247.0,6.308735559544335,4.314283805464758,4.420363637594909,5.385460611758215
DGW,,Q1 2015,2015,1,932873513617.0,70474970581.0,35989369117.0,39939439959.0,31152763168.0,7.554611590133983,3.857904484548993,4.281334969426253,3.3394412761503336
DGW,,Q2 2015,2015,2,1159248971169.0,75591269486.0,35712836082.0,36851877445.0,28587153997.0,6.520710508785088,3.080687321722336,3.178944157943754,2.4660064151855474
DGW,,Q3 2015,2015,3,1166618327419.0,55141022560.0,33135003852.0,33056998021.0,25784458456.0,4.726569201256486,2.8402608696631,2.8335743785317136,2.210188015222164
DGW,,Q4 2015,2015,4,945329450295.0,63023842539.0,24497225204.0,24221404820.0,18618852831.0,6.666865453026218,2.591395539021384,2.5622183686799826,1.9695623388428014
DGW,,Q1 2016,2016,1,811100211275.0,62039538068.0,25999120355.0,25874151839.0,20673978897.0,7.648812958694418,3.205414077519592,3.1900067931590614,2.5488809655839897
DGW,,Q2 2016,2016,2,939097421880.0,51308028056.0,13679026799.0,14651045774.0,11526034763.0,5.463546897326724,1.4566142426006934,1.5601199015827076,1.22735240183343
DGW,,Q3 2016,2016,3,1040331185693.0,57845512578.0,29057325453.0,29867908660.0,23770332208.0,5.560297852598462,2.793084149798309,2.871000030639663,2.2848812507880143
DGW,,Q4 2016,2016,4,1009444164727.0,70332622812.0,12108450471.0,14690755996.0,11469302762.0,6.967460437103143,1.1995166145989542,1.4553312119024486,1.1361998179564319
DGW,,Q1 2017,2017,1,761491640512.0,43882019296.0,10699963652.0,10764556421.0,8585952739.0,5.7626396616114235,1.4051321226331157,1.413614522906948,1.1275176616813691
DGW,,Q2 2017,2017,2,790523437640.0,58067963813.0,24095378013.0,26017744498.0,20413855017.0,7.345508184596524,3.048028289323523,3.2912046954195855,2.5823212880243984
DGW,,Q3 2017,2017,3,1143954386641.0,82866824109.0,36817004996.0,36854407191.0,27771383507.0,7.243892333183174,3.218397990859233,3.2216675438621127,2.4276652838008057
